"spp","state","month","day","year","source","odate"
"vira","minnesota",5,12,"2009","birdstrikes",132
"sora","minnesota",5,13,"2009","birdstrikes",133
"sora","minnesota",8,18,"2009","birdstrikes",230
"sora","minnesota",9,23,"2009","birdstrikes",266
"sora","minnesota",5,2,"2010","birdstrikes",122
"vira","minnesota",5,11,"2010","birdstrikes",131
"sora","minnesota",9,5,"2010","birdstrikes",248
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",5,1,"2011","birdstrikes",121
"sora","minnesota",9,21,"2011","birdstrikes",264
"sora","minnesota",5,30,"2012","birdstrikes",150
"sora","minnesota",9,26,"2012","birdstrikes",269
"sora","minnesota",5,12,"2013","birdstrikes",132
"sora","minnesota",9,8,"2013","birdstrikes",251
"sora","minnesota",10,2,"2013","birdstrikes",275
"sora","minnesota",10,3,"2013","birdstrikes",276
"sora","minnesota",5,6,"2015","birdstrikes",126
"vira","illinois",3,28,"1996","birdstrikes",87
"vira","ontario",3,26,"2004","birdstrikes",85
"vira","illinois",3,28,"2007","birdstrikes",87
"sora","illinois",4,17,"1982","birdstrikes",107
"sora","illinois",4,23,"1982","birdstrikes",113
"sora","illinois",4,14,"1983","birdstrikes",104
"vira","illinois",4,22,"1983","birdstrikes",112
"vira","illinois",4,29,"1984","birdstrikes",119
"sora","illinois",4,19,"1988","birdstrikes",109
"sora","illinois",4,25,"1989","birdstrikes",115
"sora","illinois",4,15,"1990","birdstrikes",105
"sora","illinois",4,23,"1991","birdstrikes",113
"sora","illinois",4,29,"1991","birdstrikes",119
"sora","illinois",4,30,"1992","birdstrikes",120
"sora","illinois",4,29,"1994","birdstrikes",119
"sora","illinois",4,27,"1995","birdstrikes",117
"sora","illinois",4,20,"1996","birdstrikes",110
"vira","illinois",4,27,"1996","birdstrikes",117
"vira","illinois",4,28,"1996","birdstrikes",118
"sora","illinois",4,14,"2000","birdstrikes",104
"vira","ontario",4,22,"2000","birdstrikes",112
"sora","illinois",4,28,"2002","birdstrikes",118
"vira","ontario",4,24,"2003","birdstrikes",114
"vira","new york",4,23,"2003","birdstrikes",113
"sora","illinois",4,22,"2004","birdstrikes",112
"vira","illinois",4,22,"2004","birdstrikes",112
"sora","illinois",4,19,"2004","birdstrikes",109
"yera","illinois",4,17,"2004","birdstrikes",107
"vira","ontario",4,27,"2004","birdstrikes",117
"vira","illinois",4,21,"2005","birdstrikes",111
"sora","ontario",4,12,"2005","birdstrikes",102
"vira","ontario",4,22,"2005","birdstrikes",112
"vira","ontario",4,22,"2005","birdstrikes",112
"vira","illinois",4,23,"2006","birdstrikes",113
"vira","ontario",4,30,"2006","birdstrikes",120
"vira","illinois",4,30,"2007","birdstrikes",120
"sora","illinois",4,18,"2008","birdstrikes",108
"vira","illinois",4,5,"2008","birdstrikes",95
"vira","illinois",4,15,"2008","birdstrikes",105
"sora","illinois",4,17,"2008","birdstrikes",107
"sora","illinois",4,26,"2008","birdstrikes",116
"vira","ontario",4,13,"2008","birdstrikes",103
"vira","maryland",4,6,"2009","birdstrikes",96
"sora","illinois",4,26,"2009","birdstrikes",116
"vira","ontario",4,26,"2009","birdstrikes",116
"sora","illinois",4,30,"2010","birdstrikes",120
"vira","illinois",4,7,"2010","birdstrikes",97
"vira","illinois",4,14,"2010","birdstrikes",104
